b_child_vacc,b_discuss_with_child,b_pap,b_ovx,b_vacc_new,b_vac_danger,b_child_sex,b_exposure,b_men_need,b_sex_vacc_effect,b_antibody,b_vacc_risky_sex,b_serious,b_vacc_cancer_prevent,b_discuss_school,b_will_vacc_child,d_time,b_pap_1,b_child_vacc_1,b_discuss_with_child_1,b_ovx_1,b_vacc_new_1,b_vac_danger_1,b_child_sex_1,b_men_need_1,b_sex_vacc_effect_1,b_antibody_1,b_vacc_risky_sex_1,b_serious_1,b_vacc_cancer_prevent_1,b_discuss_school_1,b_will_vacc_child_1,b_finalscore
Yes I believe this is true.,Yes I believe this is true.,Agree,I am not sure.,Yes I believe this is true.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,3/30/2023 17:09:32,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,I am not sure.,I am not sure.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,04/02/2023 0:49,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3
No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,04/02/2023 0:54,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4
I am not sure.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,04/02/2023 1:07,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
I am not sure.,I dont have children and I am not planning to have children.,Yes I believe this is true.,No I believe this is wrong.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/04/2023 12:00,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,8
Yes I believe this is true.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/04/2023 19:40,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,6
Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,I am not sure.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,04/04/2023 19:49,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,11
Yes I believe this is true.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/04/2023 21:44,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,13
Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/04/2023 22:48,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,13
Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 1:09,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,13
